filePath,nWorkers,average
1MB.txt,1,67211
1MB.txt,2,36789
1MB.txt,3,28107
1MB.txt,4,22018
1MB.txt,5,19850
1MB.txt,6,17755
1MB.txt,7,16371
1MB.txt,8,14463
1MB.txt,9,14635
1MB.txt,10,13820
1MB.txt,11,13040
1MB.txt,12,12655
1MB.txt,13,12367
1MB.txt,14,12533
1MB.txt,15,12179
1MB.txt,16,12134
1MB.txt,17,11512
1MB.txt,18,13009
1MB.txt,19,12823
1MB.txt,20,13499
1MB.txt,21,13415
1MB.txt,22,13157
1MB.txt,23,13272
1MB.txt,24,12895
1MB.txt,25,13305
1MB.txt,26,13334
1MB.txt,27,13621
1MB.txt,28,13632
1MB.txt,29,13668
1MB.txt,30,13676
1MB.txt,31,13731
1MB.txt,32,13814
1MB.txt,33,25634
1MB.txt,34,14462
1MB.txt,35,13669
1MB.txt,36,15458
1MB.txt,37,15290
1MB.txt,38,16084
1MB.txt,39,15352
1MB.txt,40,15605
1MB.txt,41,15708
1MB.txt,42,15932
1MB.txt,43,16015
1MB.txt,44,15954
1MB.txt,45,16002
1MB.txt,46,16282
1MB.txt,47,16837
1MB.txt,48,16481
1MB.txt,49,16884
1MB.txt,50,16889
1MB.txt,51,16977
1MB.txt,52,17145
1MB.txt,53,17237
1MB.txt,54,18079
1MB.txt,55,17519
1MB.txt,56,17652
1MB.txt,57,17787
1MB.txt,58,17849
1MB.txt,59,18274
1MB.txt,60,18533
1MB.txt,61,18821
1MB.txt,62,19015
1MB.txt,63,18989
1MB.txt,64,19135
10MB.txt,1,784792
10MB.txt,2,421004
10MB.txt,3,313404
10MB.txt,4,253985
10MB.txt,5,237095
10MB.txt,6,210231
10MB.txt,7,190999
10MB.txt,8,179392
10MB.txt,9,208987
10MB.txt,10,179529
10MB.txt,11,170268
10MB.txt,12,164141
10MB.txt,13,153637
10MB.txt,14,147977
10MB.txt,15,143915
10MB.txt,16,142176
10MB.txt,17,195956
10MB.txt,18,190461
10MB.txt,19,156012
10MB.txt,20,152019
10MB.txt,21,152677
10MB.txt,22,146349
10MB.txt,23,144337
10MB.txt,24,140511
10MB.txt,25,137852
10MB.txt,26,136376
10MB.txt,27,133356
10MB.txt,28,131757
10MB.txt,29,131873
10MB.txt,30,130289
10MB.txt,31,128931
10MB.txt,32,122980
10MB.txt,33,172720
10MB.txt,34,179914
10MB.txt,35,183011
10MB.txt,36,172939
10MB.txt,37,165840
10MB.txt,38,173885
10MB.txt,39,164084
10MB.txt,40,148024
10MB.txt,41,143191
10MB.txt,42,140898
10MB.txt,43,141708
10MB.txt,44,139612
10MB.txt,45,137015
10MB.txt,46,136032
10MB.txt,47,123509
10MB.txt,48,130008
10MB.txt,49,131759
10MB.txt,50,130569
10MB.txt,51,129184
10MB.txt,52,131437
10MB.txt,53,131451
10MB.txt,54,130461
10MB.txt,55,138070
10MB.txt,56,135742
10MB.txt,57,131442
10MB.txt,58,129807
10MB.txt,59,132433
10MB.txt,60,120508
10MB.txt,61,115285
10MB.txt,62,123590
10MB.txt,63,113854
10MB.txt,64,118118
100MB.txt,1,7915909
100MB.txt,2,4728523
100MB.txt,3,3386001
100MB.txt,4,3064120
100MB.txt,5,2704212
100MB.txt,6,2360220
100MB.txt,7,2152866
100MB.txt,8,2115243
100MB.txt,9,2273564
100MB.txt,10,2218119
100MB.txt,11,2048046
100MB.txt,12,1817993
100MB.txt,13,1751775
100MB.txt,14,1736347
100MB.txt,15,1625599
100MB.txt,16,1648758
100MB.txt,17,1950714
100MB.txt,18,1858971
100MB.txt,19,1842658
100MB.txt,20,1787853
100MB.txt,21,1687139
100MB.txt,22,1634049
100MB.txt,23,1498539
100MB.txt,24,1474213
100MB.txt,25,1464770
100MB.txt,26,1504538
100MB.txt,27,1451802
100MB.txt,28,1357698
100MB.txt,29,1364576
100MB.txt,30,1401358
100MB.txt,31,1342353
100MB.txt,32,1358549
100MB.txt,33,1600630
100MB.txt,34,1580144
100MB.txt,35,1603021
100MB.txt,36,1549790
100MB.txt,37,1523293
100MB.txt,38,1542733
100MB.txt,39,1549890
100MB.txt,40,1578798
100MB.txt,41,1544658
100MB.txt,42,1515431
100MB.txt,43,1559561
100MB.txt,44,1537952
100MB.txt,45,1548832
100MB.txt,46,1537765
100MB.txt,47,1437783
100MB.txt,48,1476840
100MB.txt,49,1372680
100MB.txt,50,1526910
100MB.txt,51,1536135
100MB.txt,52,1502045
100MB.txt,53,1468820
100MB.txt,54,1348558
100MB.txt,55,1341760
100MB.txt,56,1358328
100MB.txt,57,1508929
100MB.txt,58,1382810
100MB.txt,59,1351451
100MB.txt,60,1402039
100MB.txt,61,1391013
100MB.txt,62,1403924
100MB.txt,63,1366421
100MB.txt,64,1327647
